Country Name,Country Code,Indicator Name,Indicator Code,2008,2010,2012,2014,2016,2018,2020
Africa Eastern and Southern,AFE,Forest area (sq. km),AG.LND.FRST.K2,,4796590.6,4734211.36,4671832.12,4607876.1,4544314.78,4479395
United Arab Emirates,ARE,Forest area (sq. km),AG.LND.FRST.K2,,3173,3173,3173,3173,3173,3173
Australia,AUS,Forest area (sq. km),AG.LND.FRST.K2,,1295461,1309654.6,1323848.2,1340372,1340051,1340051
Bangladesh,BGD,Forest area (sq. km),AG.LND.FRST.K2,,18883.42,18863.652,18843.884,18834,18834,18834
India,IND,Forest area (sq. km),AG.LND.FRST.K2,,694960,700288,705616,710944,716272,721600
Japan,JPN,Forest area (sq. km),AG.LND.FRST.K2,,249660,249572,249484,249400,249350,249350
Sri Lanka,LKA,Forest area (sq. km),AG.LND.FRST.K2,,21036.2,21137,21237.8,21256.6,21193.4,21130.2
Middle East & North Africa,MEA,Forest area (sq. km),AG.LND.FRST.K2,,228295.2,228626.4,228957.6,229110.6,229360.3,230051.3
Mexico,MEX,Forest area (sq. km),AG.LND.FRST.K2,,669433.1,666983.5,664533.9,662031.5,659476.1,656920.8
Netherlands,NLD,Forest area (sq. km),AG.LND.FRST.K2,,3734.8,3700.2,3665.6,3657.6,3676.3,3695
Nepal,NPL,Forest area (sq. km),AG.LND.FRST.K2,,59620.3,59620.3,59620.3,59620.3,59620.3,59620.3
Peru,PER,Forest area (sq. km),AG.LND.FRST.K2,,740498,737076.92,733655.84,730102.8,726760.4,723303.7
Philippines,PHL,Forest area (sq. km),AG.LND.FRST.K2,,68397.2,69094.92,69792.64,70490.4,71188.1,71885.9
Romania,ROU,Forest area (sq. km),AG.LND.FRST.K2,,65150,66693.84,68237.68,69290.5,69290.5,69290.5
East Asia & Pacific (IDA & IBRD countries),TEA,Forest area (sq. km),AG.LND.FRST.K2,,4741241.553,4752852.495,4764463.438,4790821.77,4799041.9,4814808.2
Europe & Central Asia (IDA & IBRD countries),TEC,Forest area (sq. km),AG.LND.FRST.K2,,9000412.541,9007017.567,9013622.594,9021233.754,9028614.062,9034413.3
Middle East & North Africa (IDA & IBRD countries),TMN,Forest area (sq. km),AG.LND.FRST.K2,,213611.5,213897.62,214183.74,214565.7,214816.2,215507.8
South Asia (IDA & IBRD),TSA,Forest area (sq. km),AG.LND.FRST.K2,,874582.72,879386.792,884190.864,888601.5,893309.3,897786.9
United States,USA,Forest area (sq. km),AG.LND.FRST.K2,,3087200,3092700,3098200,3100950,3097950,3097950
Vietnam,VNM,Forest area (sq. km),AG.LND.FRST.K2,,133880.6,136575.8,139271,143776.8,144912.9,146430.9
South Africa,ZAF,Forest area (sq. km),AG.LND.FRST.K2,,174140.9,173412.9,172684.9,171956.9,171228.9,170500.9
